ID,irods_path,alignment,component,composition,dcterms:created,dcterms:creator,dcterms:publisher,id_product,id_run,irods::access_time,is_paired_read,lane,library_id,library_type,manual_qc,md5,reference,sample,sample_accession_number,sample_common_name,sample_donor_id,sample_id,sample_lims,sample_supplier_name,sample_uuid,seqchksum,study,study_accession_number,study_id,study_title,tag_index,target,total_reads,type,subset,sweep_or_wgs,sample_source,linking_id
49937_1#340,/seq/illumina/runs/49/49937/lane1/plex340/49937_1#340.cram,1,"{""id_run"":49937,""position"":1,""tag_index"":340}","{""components"":[{""id_run"":49937,""position"":1,""tag_index"":340}]}",2024-12-18T06:56:45Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",dc9c9f07c780ecae41053964906af3783405886720f54c2ab7bcc788cf5c70ad,49937,1734621180,1,1,73717925,pWGS-384,1,ca4b506a308ccf33d4c58933712c3188,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15050597,ERS21364975,Escherichia coli,TRACS15050597,9919543,SQSCP,TRACS_2_ES_4093,657fa3fa-92ad-11ef-b117-0242391542d4,2ee59eb70bd93c4f2b24bd0c245054642ee59eb70bd93c4f2b24bd0c24505464,TRACS,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,340,1,1670064,cram,target,wgs,environmental,TRACS_2_ES_4093
49989_1#295,/seq/illumina/runs/49/49989/lane1/plex295/49989_1#295.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":295}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":295}]}",2025-01-09T17:52:39Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",1e01d6ae6cc0bb3c13f37c7efcf8a3cded096b86e844446caf00bdfadd3f7802,49989,1736531403,1,1,73716458,pWGS-384,1,932444f239a7143d8ec6cff3a2ef5df5,/lustre/scratch120/npg_repository/references/Klebsiella_pneumoniae/NC_011283/all/bwa0_6/NC_011283.fasta,TRACS15051246,ERS21365623,Klebsiella pneumoniae,TRACS15051246,9920192,SQSCP,TRACS_LCL_41_220759,71d93d32-92ad-11ef-b117-0242391542d4,643c16735f9c204903a1b4506676318d643c16735f9c204903a1b4506676318d,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,295,1,2056512,cram,target,wgs,blood,220759
49989_1#267,/seq/illumina/runs/49/49989/lane1/plex267/49989_1#267.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":267}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":267}]}",2025-01-09T17:47:33Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",19e393dcb3b20471a72236e16685119014192ec391b152dfe0df2475bb1e0a44,49989,1736531348,1,1,73716552,pWGS-384,1,e58f4f116a4718ff6eacca01662d1810,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051235,ERS21365613,Escherichia coli,TRACS15051235,9920181,SQSCP,TRACS_LCL_4_220049,71a23e72-92ad-11ef-b117-0242391542d4,3270ba720b02a94374d0cf4c351580f13270ba720b02a94374d0cf4c351580f1,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,267,1,2435964,cram,target,wgs,blood,220049
49989_2#75,/seq/illumina/runs/49/49989/lane2/plex75/49989_2#75.cram,1,"{""id_run"":49989,""position"":2,""tag_index"":75}","{""components"":[{""id_run"":49989,""position"":2,""tag_index"":75}]}",2025-01-09T18:26:18Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",fa43465e5abf7d0187963f17dbadca15deea6461f0146fcb6dfe72ab8f22818e,49989,1736531735,1,2,73716156,pWGS-384,1,270b7436162cd26185e2603ea1a9eeb0,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15050669,ERS21365047,Escherichia coli,TRACS15050669,9919615,SQSCP,TRACS_2_PS_522,66bee94c-92ad-11ef-b117-0242391542d4,04878a0170334cfd03ec2ca336206e1d04878a0170334cfd03ec2ca336206e1d,TRACS,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,75,1,2767296,cram,target,wgs,stool,TRACS_2_PS_522
49990_1#339,/seq/illumina/runs/49/49990/lane1/plex339/49990_1#339.cram,1,"{""id_run"":49990,""position"":1,""tag_index"":339}","{""components"":[{""id_run"":49990,""position"":1,""tag_index"":339}]}",2025-01-09T15:48:14Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",c4409e3b8f2487d6e571adc8ac98ec03a7f3747908dbb869781e64668ffc632c,49990,1736856246,1,1,73717517,pWGS-384,1,c346082583af6b4bc281e48ee238a9e2,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15050549,ERS21364937,Escherichia coli,TRACS15050549,9919495,SQSCP,TRACS_2_ES_3100,64a800da-92ad-11ef-b117-0242391542d4,2e2961470d112d8e2c115bb67a5b1a402e2961470d112d8e2c115bb67a5b1a40,TRACS,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,339,1,1356724,cram,target,wgs,environmental,TRACS_2_ES_3100
49990_2#39,/seq/illumina/runs/49/49990/lane2/plex39/49990_2#39.cram,1,"{""id_run"":49990,""position"":2,""tag_index"":39}","{""components"":[{""id_run"":49990,""position"":2,""tag_index"":39}]}",2025-01-09T16:03:57Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",6aae4f91c69b9020f512ef67e514ea0183ada4becd6f7aafc83f3add7e13b0cd,49990,1736856465,1,2,73716826,pWGS-384,1,95f0e3997adcdbc9f2a44ae27c876817,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051617,ERS21365985,Escherichia coli,TRACS15051617,9920563,SQSCP,TRACS_LCL_670_227755,789bca7c-92ad-11ef-b117-0242391542d4,2073a7a82d55dcae3834a257673c6c622073a7a82d55dcae3834a257673c6c62,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,39,1,2381002,cram,target,wgs,blood,227755
49989_1#241,/seq/illumina/runs/49/49989/lane1/plex241/49989_1#241.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":241}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":241}]}",2025-01-09T17:42:39Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",3bcfc2d97dde04d6489d47a5177d61d602ee230dc2fa4368faba19958662c24c,49989,1736531298,1,1,73716311,pWGS-384,1,707ace63cba77b682d7ad0c8460a1c2c,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051456,ERS21365834,Escherichia coli,TRACS15051456,9920402,SQSCP,"TRACS_WH_67_M,23.1313818.ZA",75cefb02-92ad-11ef-b117-0242391542d4,5718b0770e5cfbfa5f2c7fa7502fde915718b0770e5cfbfa5f2c7fa7502fde91,Whiston,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,241,1,2451000,cram,target,wgs,blood,"M,23.1313818.ZA"
49873_3#130,/seq/illumina/runs/49/49873/lane3/plex130/49873_3#130.cram,0,"{""id_run"":49873,""position"":3,""tag_index"":130}","{""components"":[{""id_run"":49873,""position"":3,""tag_index"":130}]}",2024-11-30T17:03:49Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",d8afe4b10534be7e2f2df3ad14ab20743570b62956c23c1c89b6f883edfa1718,49873,1733223926,1,3,73056504,Standard,1,5b9e8d89081b201caac9e78a4fe6e793,NA,TRACS15052374,ERS21364533,metagenome,TRACS15052374,9919214,SQSCP,TRACS_Sweep_2_ES_4162,f753e2a8-92aa-11ef-b505-02423c45b5b8,36cdb63248ebffdc6223cbe4359485c736cdb63248ebffdc6223cbe4359485c7,TRACS,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,130,1,29603568,cram,target,sweep,environmental,TRACS_2_ES_4162
49989_1#238,/seq/illumina/runs/49/49989/lane1/plex238/49989_1#238.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":238}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":238}]}",2025-01-09T17:42:21Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",36eecd902730c4e8e4926d8ec712c50e0e55a83f9b45a4db77784758e1218614,49989,1736531290,1,1,73716622,pWGS-384,1,c523ab75fc64a4fe4ff704d696d6975b,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051348,ERS21365704,Escherichia coli,TRACS15051348,9920294,SQSCP,TRACS_LCL_575_222742,73cce7a6-92ad-11ef-b117-0242391542d4,009d568f6a9b49c630ac4bcf46795505009d568f6a9b49c630ac4bcf46795505,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,238,1,2249746,cram,target,wgs,blood,222742
49990_2#12,/seq/illumina/runs/49/49990/lane2/plex12/49990_2#12.cram,1,"{""id_run"":49990,""position"":2,""tag_index"":12}","{""components"":[{""id_run"":49990,""position"":2,""tag_index"":12}]}",2025-01-09T15:58:41Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",d348f0fc7c3e7ee23c1af27dd20b4a6fc39be9d15108561232ceca65c364e3aa,49990,1736856396,1,2,73716944,pWGS-384,1,3fa66500fb2cb32fbd2a33990e696dfb,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051723,ERS21366101,Escherichia coli,TRACS15051723,9920669,SQSCP,"TRACS_WH_257_M,23.1333720.KA",7aa013d2-92ad-11ef-b117-0242391542d4,57febea904c9f8777c42ea3d33225c9e57febea904c9f8777c42ea3d33225c9e,Whiston,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,12,1,2975560,cram,target,wgs,blood,"M,23.1333720.KA"
49989_1#329,/seq/illumina/runs/49/49989/lane1/plex329/49989_1#329.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":329}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":329}]}",2025-01-09T17:58:37Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",71f81b311e3964780df34ae99ef9a54aaead03145b42a2aa301c342a5ec2dd8f,49989,1736531466,1,1,73716508,pWGS-384,1,6b6deab48ad5156769669ca6fffe57b6,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051260,ERS21365638,Escherichia coli,TRACS15051260,9920206,SQSCP,TRACS_LCL_19_220312,7225ee8e-92ad-11ef-b117-0242391542d4,32fdc0e962157c550401a28666039bc432fdc0e962157c550401a28666039bc4,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,329,1,1477484,cram,target,wgs,blood,220312
49989_2#351,/seq/illumina/runs/49/49989/lane2/plex351/49989_2#351.cram,1,"{""id_run"":49989,""position"":2,""tag_index"":351}","{""components"":[{""id_run"":49989,""position"":2,""tag_index"":351}]}",2025-01-09T19:17:21Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",2356c33557628340f0a27bbc1d0f70795e1bb0f154b0ce08cb493e964dd8ac7c,49989,1736532286,1,2,73716269,pWGS-384,1,ad35f387b46ade84fbd75985ad2bc7f2,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15050993,ERS21365371,Escherichia coli,TRACS15050993,9919939,SQSCP,TRACS_LCL_323_222568,6cc5e764-92ad-11ef-b117-0242391542d4,68be2f103b7574cc4ca47b4f6a46ed6068be2f103b7574cc4ca47b4f6a46ed60,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,351,1,2342028,cram,target,wgs,blood,222568
49989_1#124,/seq/illumina/runs/49/49989/lane1/plex124/49989_1#124.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":124}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":124}]}",2025-01-09T17:20:36Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",15ff84100284579854ba6eaf387eb3f7d10eae4d5515467a58717f28acc917ac,49989,1736531065,1,1,73716567,pWGS-384,1,fcea4beb213cf3ab44c1477eaf5222bc,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051528,ERS21365906,Escherichia coli,TRACS15051528,9920474,SQSCP,"TRACS_WH_220_M,23.1333776.VA",77148fae-92ad-11ef-b117-0242391542d4,5919ed4b6ff1f2dd213c5aca01c974d15919ed4b6ff1f2dd213c5aca01c974d1,Whiston,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,124,1,1957762,cram,target,wgs,blood,"M,23.1333776.VA"
49937_1#360,/seq/illumina/runs/49/49937/lane1/plex360/49937_1#360.cram,1,"{""id_run"":49937,""position"":1,""tag_index"":360}","{""components"":[{""id_run"":49937,""position"":1,""tag_index"":360}]}",2024-12-18T06:59:49Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",f2b1f2025afab6c603d312681d7da3d821ea2708308a00bf40ffd530d8a65bfe,49937,1734621224,1,1,73718022,pWGS-384,1,26c68db4d9ed62e169697ae1096daeea,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15051839,ERS21366234,Escherichia coli,TRACS15051839,9920785,SQSCP,TRACS_CA_LIV55,7cbe1920-92ad-11ef-b117-0242391542d4,41c564232462cda21bdf2c062f15e08c41c564232462cda21bdf2c062f15e08c,Companion animal,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,360,1,2885478,cram,target,wgs,NA,TRACS_CA_LIV55
49937_1#252,/seq/illumina/runs/49/49937/lane1/plex252/49937_1#252.cram,1,"{""id_run"":49937,""position"":1,""tag_index"":252}","{""components"":[{""id_run"":49937,""position"":1,""tag_index"":252}]}",2024-12-18T06:41:59Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",489269812f190205ee72c3ddd5b64cfef8489f0c0f2640cdf4afb004f36eed1f,49937,1734621006,1,1,73718111,pWGS-384,1,c71874668466dff14750c08560411046,/lustre/scratch120/npg_repository/references/Escherichia_coli/K12/all/bwa0_6/E-coli-K12.fa,TRACS15050567,ERS21364864,Escherichia coli,TRACS15050567,9919513,SQSCP,TRACS_2_PS_061,64fb0e06-92ad-11ef-b117-0242391542d4,46375a15433cf6314800fdd2565f705546375a15433cf6314800fdd2565f7055,TRACS,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,252,1,2341504,cram,target,wgs,stool,TRACS_2_PS_061
49989_1#79,/seq/illumina/runs/49/49989/lane1/plex79/49989_1#79.cram,1,"{""id_run"":49989,""position"":1,""tag_index"":79}","{""components"":[{""id_run"":49989,""position"":1,""tag_index"":79}]}",2025-01-09T17:12:17Z,http://www.sanger.ac.uk,"ldap://ldap.internal.sanger.ac.uk/oupeople,dcsanger,dcac,dcuk?title?sub?(uidgspipe)",7c67f61440e14aec89e2de0ecaf1f468de1f6bf9c575f85a9310ba05ff7e24d4,49989,1736530981,1,1,73716636,pWGS-384,1,9343d45c62286530f5223ed03cc13abe,/lustre/scratch120/npg_repository/references/Klebsiella_pneumoniae/NC_011283/all/bwa0_6/NC_011283.fasta,TRACS15051160,ERS21365538,Klebsiella pneumoniae,TRACS15051160,9920106,SQSCP,TRACS_LCL_768_230630,7010ad5a-92ad-11ef-b117-0242391542d4,7f7dbdd0483a729a41997bd9710e73eb7f7dbdd0483a729a41997bd9710e73eb,LCL,ERP162981,7835,Tracking Antimicrobial Resistance Across Care Settings in Liverpool,79,1,2357250,cram,target,wgs,blood,230630
