Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
49989_2_143.assembly	187	76	55	48	38	29	5147084	5108057	5065285	5012851	4839697	4533635	101	463684	5124857	50.51	168382	91784	9	20	0.00
49990_2_15.assembly	159	77	53	45	39	27	5010496	4979743	4934975	4872091	4754585	4339080	99	679553	4995595	50.63	185241	90880	9	19	0.00
49990_1_306.assembly	113	75	42	37	34	24	4958449	4945800	4878893	4835080	4793915	4462764	83	428500	4951997	50.87	207927	122531	8	15	0.00
49989_2_198.assembly	123	69	49	40	28	23	5067376	5049088	4998958	4933198	4741926	4577233	82	622952	5058157	50.75	233499	123597	7	14	0.00
49989_1_236.assembly	85	48	35	33	31	27	5395396	5382628	5356697	5344336	5308812	5161280	56	401528	5388552	57.30	298893	138965	8	15	0.00
49937_1_371.assembly	48	25	19	16	16	14	4983956	4973496	4957249	4938733	4938733	4867694	36	828847	4980672	50.46	382791	370411	5	8	0.00
49989_1_226.assembly	138	89	57	50	44	27	4846573	4827577	4760411	4709525	4606018	3960519	103	412507	4837802	50.51	154642	70063	10	21	0.00
49989_2_277.assembly	295	93	63	55	37	31	5153481	5092784	5025610	4965302	4681739	4477247	129	319052	5117797	50.72	151825	105764	13	23	0.00
49990_2_95.assembly	136	77	52	47	36	28	5113963	5089925	5040142	5003751	4841056	4596836	99	509385	5105444	50.79	165208	108987	9	18	0.00
49989_1_382.assembly	174	88	54	43	32	22	5180001	5144330	5073115	4991962	4815598	4466787	118	665384	5163992	50.38	210476	107561	8	16	0.00
49937_1_209.assembly	99	50	33	26	19	15	5369848	5353813	5316649	5259346	5150492	5002619	61	1038197	5361917	57.37	423454	262506	4	8	0.00
49989_1_103.assembly	126	79	55	48	35	26	5068721	5053275	5006375	4956455	4755746	4439197	89	692733	5059683	50.75	183444	101545	8	17	0.00
49990_1_251.assembly	226	93	52	44	30	25	5568050	5524297	5412522	5358646	5127365	4972208	118	787772	5539950	57.13	217596	117856	8	15	0.00
49989_1_369.assembly	237	103	57	47	33	24	5295059	5239614	5143319	5064345	4841711	4526839	150	624580	5272140	50.43	212133	107365	9	17	0.00
49937_1_45.assembly	79	50	33	33	26	19	4866199	4855291	4819214	4819214	4700777	4442043	57	742033	4860552	50.77	279585	159532	6	12	0.00
49989_2_300.assembly	228	101	56	45	33	24	5295872	5238903	5142513	5061091	4870285	4536246	152	444562	5275459	50.66	197646	136364	10	17	0.00
49989_2_158.assembly	201	84	51	37	32	23	5059785	5014570	4939490	4835946	4764173	4426016	116	548271	5035966	50.50	263016	111627	7	14	0.00
49937_1_75.assembly	82	51	38	33	30	23	5388168	5377739	5344610	5311279	5266528	5028432	58	478675	5382493	57.34	294393	166134	7	13	0.00
49937_1_208.assembly	419	201	128	99	66	31	5231216	5151531	4980714	4790109	4263315	3001543	253	226073	5188837	50.57	62370	33261	24	53	0.00
49990_1_384.assembly	86	53	33	31	28	22	4989387	4979108	4935367	4924240	4873710	4661214	58	488072	4982828	50.61	281802	160738	7	14	0.00
49989_1_23.assembly	228	126	86	70	51	34	4969948	4930469	4835613	4715401	4383558	3781437	156	230784	4952594	50.54	97449	53141	17	33	0.00
49989_2_117.assembly	149	72	42	38	28	19	5213232	5177601	5119694	5085983	4925804	4596248	101	616021	5199167	50.54	343105	131564	6	13	0.00
49989_2_192.assembly	131	67	49	45	27	22	5239891	5216679	5177515	5144841	4866631	4691552	84	527293	5228181	50.71	276484	146121	7	14	0.00
49989_1_287.assembly	157	95	66	54	44	32	5157774	5134678	5069892	4985410	4808977	4332260	114	458856	5147859	50.62	145572	72827	12	25	0.00
49947_1_187.assembly	93	56	35	33	27	23	5428847	5418465	5367133	5351976	5236708	5099172	61	627412	5421937	57.13	291396	211007	6	12	0.00
49989_2_377.assembly	112	66	43	40	34	28	5040039	5024980	4972038	4952096	4839446	4643163	73	457114	5029806	50.36	193000	117356	9	17	0.00
49990_1_315.assembly	184	85	56	44	30	26	5217236	5175187	5106658	5017449	4806442	4678519	124	536121	5203172	50.66	202168	108993	8	17	0.00
49989_2_85.assembly	192	88	45	38	29	23	5241302	5193380	5096989	5039106	4898991	4657698	128	443221	5222611	50.66	196210	153412	10	17	0.00
49947_1_61.assembly	115	69	40	34	25	21	5406874	5390643	5312530	5267019	5106828	4979636	80	850130	5397845	57.42	352448	165635	6	12	0.00
49989_1_10.assembly	128	74	50	41	29	21	5333703	5315103	5269196	5209651	5011870	4728252	86	709134	5323553	57.40	304407	107848	6	12	0.00
49989_2_74.assembly	139	55	39	34	27	19	4977095	4942866	4908066	4874631	4737923	4478204	86	577221	4964634	50.53	234335	132671	6	13	0.00
49989_2_57.assembly	184	87	59	53	37	28	5296795	5253454	5193458	5151405	4884479	4573127	122	365983	5279347	50.65	188328	113517	11	20	0.00
49989_2_135.assembly	155	81	57	47	27	21	5311172	5280938	5221829	5148998	4819594	4625956	111	622959	5300530	50.72	281147	123597	7	14	0.00
49989_2_129.assembly	61	31	25	23	22	14	4781571	4769131	4754954	4742137	4725868	4424378	42	699933	4776699	50.55	514875	245485	4	8	0.00
49989_2_122.assembly	221	106	73	65	50	28	5050671	5004772	4940021	4874177	4650924	3829413	142	345921	5032073	50.67	126916	56286	13	27	0.00
49937_1_169.assembly	107	58	36	32	30	22	5032560	5013539	4968022	4942649	4911766	4626134	69	918454	5022296	50.74	263026	160197	7	13	0.00
49989_2_304.assembly	88	51	35	31	26	21	5506700	5494445	5465878	5432203	5341027	5184938	60	628866	5500683	57.15	299157	203118	7	13	0.00
49989_1_301.assembly	186	81	49	42	30	21	5236972	5190158	5125548	5076889	4880130	4569702	124	622511	5219802	50.40	213892	114119	7	15	0.00
49989_1_185.assembly	143	78	51	48	34	22	5086985	5061776	5008418	4991420	4782779	4387741	98	609855	5076059	50.56	224058	107774	7	16	0.00
49947_1_95.assembly	403	191	105	75	54	31	6141434	6061928	5861344	5637955	5264839	4424259	254	382135	6105496	56.40	104927	44806	15	35	0.00
49989_1_87.assembly	136	67	43	36	24	20	4975537	4945955	4897846	4849205	4642282	4506473	94	491409	4964392	50.45	234344	155889	7	13	0.00
49989_2_72.assembly	80	46	32	31	30	23	5535854	5523718	5493788	5486284	5471323	5202933	53	662136	5528874	57.11	351979	143058	6	12	0.00
49989_2_292.assembly	119	72	49	38	31	22	5038071	5020569	4969425	4893004	4784234	4489466	88	564437	5032018	50.63	237094	136880	7	14	0.00
49947_1_243.assembly	226	205	156	124	63	28	4977276	4968727	4827562	4610170	3582355	2393778	212	175075	4974377	50.48	44110	22602	31	70	0.00
49989_2_109.assembly	131	63	43	39	26	21	5030478	5004592	4959652	4929303	4743470	4564522	82	570358	5017908	50.67	228602	159530	8	14	0.00
49990_1_152.assembly	99	60	42	35	29	22	5227235	5211487	5170744	5122330	5009312	4779732	72	790188	5220512	50.44	237085	136854	7	14	0.00
49990_1_190.assembly	137	84	55	48	39	27	5488208	5468643	5407890	5363823	5213840	4802183	98	797290	5478702	50.28	199008	89228	8	18	0.00
49937_1_47.assembly	74	43	29	29	28	23	5497894	5486770	5456950	5456950	5441989	5250528	50	623808	5491923	57.16	351979	143058	6	12	0.00
49990_2_134.assembly	2111	632	280	138	37	12	5604698	5149645	4220003	3207957	1690655	913956	850	119703	5302435	50.10	13407	5868	91	236	0.00
49989_2_180.assembly	127	60	40	33	26	22	5544255	5518081	5467752	5422234	5313792	5166383	81	702967	5532500	57.29	323577	171841	7	13	0.00
49937_1_217.assembly	87	51	32	29	24	20	5431627	5418161	5367713	5345774	5262953	5125417	61	838395	5425517	57.14	366631	185546	5	10	0.00
49990_2_130.assembly	106	60	40	38	31	25	4766783	4751620	4709400	4690388	4582260	4397895	67	373261	4756255	50.60	202386	129982	8	15	0.00
49989_1_157.assembly	178	108	77	65	46	32	5115583	5086316	5011853	4926334	4611601	4117447	132	340306	5103926	50.57	129201	66006	14	28	0.00
49947_1_287.assembly	110	63	44	38	33	28	5409406	5396204	5351023	5306999	5214217	5057639	71	492870	5401227	57.53	221720	142588	9	16	0.00
49937_1_58.assembly	155	74	46	39	26	22	5543834	5514430	5441690	5388934	5174512	5024304	92	787772	5527068	57.15	330346	117856	5	12	0.00
49937_1_230.assembly	65	38	26	26	25	21	5460105	5451049	5426452	5426452	5411491	5264896	43	733500	5454570	57.18	426447	204398	5	10	0.00
49937_1_175.assembly	145	66	43	40	27	24	5128765	5101077	5051272	5028425	4817640	4723381	87	693312	5114979	50.71	212469	136365	8	15	0.00
49989_2_270.assembly	177	96	67	53	45	31	4897638	4869279	4812293	4717132	4587906	4090662	116	370724	4882902	50.78	135510	69271	11	24	0.00
49989_1_101.assembly	107	59	44	39	33	24	5508716	5491105	5459941	5426886	5337038	5012069	74	422514	5501589	57.17	292290	157284	9	15	0.00
49947_1_283.assembly	125	67	40	34	28	25	5537168	5514580	5459706	5413899	5325811	5236971	85	904829	5527623	57.22	242210	140124	6	14	0.00
49937_1_314.assembly	123	70	50	42	29	23	5068044	5049890	5001526	4945053	4742491	4547092	83	622961	5058959	50.75	233499	123597	7	14	0.00
49937_1_43.assembly	140	80	47	40	33	25	5090132	5064924	4988791	4935706	4817468	4503427	101	511179	5079740	50.73	209196	109592	8	17	0.00
49937_1_236.assembly	181	95	63	54	44	32	5132898	5096845	5020975	4952156	4794749	4331901	126	504029	5118537	50.51	129268	80173	13	25	0.00
49947_1_86.assembly	129	63	40	35	29	26	5503174	5481748	5433338	5396220	5310944	5222104	78	590465	5491449	57.26	242098	129654	8	15	0.00
49990_2_77.assembly	256	114	63	54	34	25	5208741	5151463	5036177	4977283	4694713	4364608	154	450283	5180611	50.76	219316	109041	9	18	0.00
49937_1_287.assembly	102	60	37	32	25	18	5450533	5436525	5379391	5344098	5243549	5006083	70	1447536	5443222	57.32	359256	127818	4	9	0.00
49990_2_317.assembly	197	69	43	39	32	24	5256731	5206391	5157341	5128704	5011495	4731681	103	427076	5230610	50.59	284583	106575	8	15	0.00
49990_2_68.assembly	68	43	25	25	22	15	5403992	5396062	5353097	5353097	5310082	5068497	48	695864	5399320	57.42	374087	323775	6	9	0.00
49990_2_220.assembly	83	47	31	27	24	17	5330082	5319383	5287816	5256243	5201156	4974133	54	1036108	5324494	57.34	367789	263582	5	10	0.00
49990_1_159.assembly	68	46	28	26	21	17	5433568	5424305	5374553	5360104	5277292	5129622	54	838395	5430111	57.14	465852	250288	5	9	0.00
49989_2_343.assembly	100	56	39	34	25	19	4993183	4975240	4934094	4900883	4761288	4557684	71	819695	4986364	50.59	294893	171148	6	11	0.00
49947_1_58.assembly	131	63	40	38	31	20	4866387	4843391	4795638	4782585	4679047	4312440	76	452013	4852342	50.73	279585	143746	7	13	0.00
49990_1_192.assembly	269	108	65	51	37	27	5337475	5281208	5184369	5087972	4867631	4509129	146	448719	5307062	50.47	182648	91763	10	19	0.00
49990_1_241.assembly	84	54	37	32	28	21	5409794	5399573	5361210	5324128	5258190	5047080	58	628644	5402932	57.25	307615	181588	7	13	0.00
49989_1_20.assembly	163	84	53	50	42	25	5272116	5239996	5171522	5151193	5031395	4423364	111	496555	5258157	50.41	192206	99354	10	19	0.00
49989_1_204.assembly	176	80	43	36	26	19	5061571	5026562	4945733	4904220	4745514	4486865	101	667556	5042640	50.63	279706	147609	6	12	0.00
49990_1_82.assembly	131	72	50	44	29	21	5248634	5227580	5180625	5141385	4895360	4626673	91	622959	5240280	50.72	281147	123597	7	14	0.00
49989_2_19.assembly	171	75	47	40	29	20	5192352	5151667	5090260	5041417	4879635	4589105	112	577222	5176698	50.50	287105	132344	6	13	0.00
49990_2_119.assembly	154	87	56	50	36	29	5140622	5114950	5049457	5003192	4803555	4594074	109	509385	5130089	50.82	173578	108987	9	18	0.00
49989_1_352.assembly	113	62	33	27	23	17	5078501	5057913	4988693	4950767	4895086	4681996	78	698221	5069559	50.49	405897	202436	5	10	0.00
49989_2_221.assembly	122	63	39	36	25	22	5128968	5104030	5052980	5029621	4858943	4755421	86	511980	5119631	50.78	216903	158934	7	14	0.00
49989_1_343.assembly	133	54	43	37	33	24	5164219	5131802	5107158	5062893	4989865	4679795	82	720337	5150516	50.70	235800	126720	8	15	0.00
49990_1_310.assembly	129	72	50	48	28	25	5060001	5039973	4998006	4979438	4676612	4571572	86	491827	5049132	50.72	190808	121487	8	17	0.00
49937_1_354.assembly	63	43	29	26	21	17	5216366	5209089	5173889	5157280	5060399	4926047	49	708401	5213368	57.56	411667	206396	5	10	0.00
49989_2_325.assembly	128	58	38	31	28	21	4937018	4915117	4871215	4824544	4778062	4541856	68	540151	4922049	50.50	261646	186234	7	13	0.00
49947_1_146.assembly	138	85	59	48	32	28	5111330	5091194	5034227	4952092	4705547	4571460	100	378434	5101889	50.74	190808	116867	10	18	0.00
49989_1_279.assembly	167	92	58	47	31	21	5152094	5121629	5044628	4966942	4705621	4368736	114	578412	5137764	50.54	260796	100778	7	14	0.00
49989_1_150.assembly	131	63	37	29	23	19	5022198	4990303	4933602	4883932	4775781	4651601	89	624200	5010082	50.62	294432	168976	6	11	0.00
49989_2_15.assembly	126	71	51	43	29	23	5067325	5048656	5000366	4943893	4731091	4535693	84	622961	5057724	50.75	222270	123597	7	14	0.00
49989_2_309.assembly	144	83	63	54	40	28	5169463	5143943	5105672	5038468	4813975	4391012	103	351519	5157790	50.57	170355	92553	11	21	0.00
49989_2_82.assembly	165	93	55	46	30	26	5369677	5338171	5253693	5179881	4932106	4790869	117	346433	5356519	50.68	204575	123597	10	18	0.00
49937_1_88.assembly	265	106	59	47	33	27	5574448	5516394	5397483	5310399	5091448	4902023	145	787772	5543799	57.13	248330	96308	6	17	0.00
49947_1_81.assembly	169	80	48	40	28	24	5537207	5507519	5423048	5361894	5168033	5023432	97	787772	5519555	57.15	248554	118031	7	14	0.00
49989_1_40.assembly	53	41	32	32	29	25	4807434	4803964	4784231	4784231	4723167	4570221	43	376418	4805320	50.49	218505	124925	9	15	0.00
49989_2_148.assembly	101	59	37	33	27	22	5516955	5504640	5468283	5435973	5330469	5172498	61	628827	5506443	57.14	307615	193199	7	13	0.00
49989_1_244.assembly	148	72	44	37	27	17	5123640	5089076	5027182	4977353	4815192	4483586	104	577121	5111194	50.44	326118	138401	6	12	0.00
49990_2_47.assembly	135	73	55	48	38	28	4951329	4924812	4891417	4840508	4659324	4287859	94	351506	4940161	50.78	204149	88796	11	21	0.00
49990_2_287.assembly	169	90	62	52	36	24	5145351	5109015	5047300	4973671	4725146	4324197	121	371091	5132572	50.50	214931	102076	9	18	0.00
49937_1_376.assembly	153	64	48	45	36	29	5095783	5063437	5028164	5008474	4846477	4607178	85	463684	5077634	50.53	168382	92293	8	18	0.00
49937_1_381.assembly	120	66	46	40	27	21	4963714	4943532	4904690	4862480	4669624	4459809	81	582182	4953796	50.58	246032	137432	7	13	0.00
49937_1_337.assembly	83	52	33	27	21	18	5371437	5359273	5315001	5271372	5176190	5087544	63	850352	5366741	57.50	370176	322640	6	9	0.00
49989_1_227.assembly	224	118	76	63	47	31	5193599	5151924	5063011	4972861	4746400	4148145	154	286135	5176736	50.47	134364	73694	14	27	0.00
49989_1_4.assembly	159	73	39	34	27	22	5136232	5099828	5029064	4992579	4888613	4695236	98	619053	5117853	50.52	222127	142523	7	15	0.00
49990_1_54.assembly	131	63	44	40	27	21	5029256	5003448	4962237	4931888	4746055	4530950	83	581214	5017248	50.67	222182	159532	8	14	0.00
49989_1_156.assembly	161	75	45	39	27	19	5187868	5148990	5083092	5034822	4835464	4571175	112	569384	5173875	50.47	287866	138401	7	13	0.00
49989_1_318.assembly	85	52	30	30	23	18	5064547	5053383	5007236	5007236	4902860	4725893	59	679333	5058125	50.55	358124	161619	5	11	0.00
49990_2_256.assembly	66	45	31	30	24	19	5217146	5209748	5174370	5169011	5058427	4888343	51	702931	5214032	57.56	341018	194079	6	12	0.00
49989_1_180.assembly	107	63	42	37	32	25	4840496	4825917	4779760	4742161	4654859	4392306	73	408642	4833405	50.57	208507	108044	9	16	0.00
49990_2_234.assembly	200	130	101	84	57	32	4951299	4924082	4856771	4733941	4315838	3375220	147	256484	4937603	50.55	92011	41169	19	40	0.00
49989_1_364.assembly	58	39	29	28	26	20	4881450	4873079	4848630	4839091	4804047	4575070	45	641956	4878042	50.60	274651	151667	7	12	0.00
49990_2_222.assembly	136	81	49	45	36	25	4834736	4816239	4737727	4702897	4561931	4138161	92	408967	4823624	50.63	183832	86437	9	19	0.00
49947_1_94.assembly	128	79	56	46	30	27	5115588	5097696	5043326	4967738	4728344	4632050	92	524561	5106885	50.74	209197	116899	9	17	0.00
49989_2_6.assembly	137	76	52	43	30	25	5063429	5041453	4985686	4918538	4717695	4553126	93	619721	5053459	50.75	212398	116898	8	16	0.00
49989_2_332.assembly	94	56	36	35	32	28	5430867	5415003	5376420	5370783	5326349	5197360	70	535117	5425562	57.27	242135	141204	8	15	0.00
49989_2_136.assembly	232	93	53	47	27	23	5190145	5135762	5031531	4990419	4694523	4558041	135	465967	5164818	50.79	229045	123597	8	15	0.00
49989_1_338.assembly	76	46	27	25	23	20	5383015	5374491	5336243	5319744	5277760	5189389	50	839513	5376821	57.34	357389	167469	5	10	0.00
49947_1_340.assembly	292	112	73	61	34	28	5343247	5277393	5186907	5094888	4639446	4443070	166	381451	5311777	50.67	170089	84577	11	22	0.00
49989_2_77.assembly	130	64	45	41	28	21	5075339	5049735	5008524	4978175	4792230	4540123	84	581213	5063535	50.64	239678	149240	7	14	0.00
49989_1_378.assembly	114	65	39	34	29	26	5509157	5490869	5438654	5399535	5323830	5234990	78	590644	5500245	57.26	242508	140345	8	15	0.00
49937_1_226.assembly	95	54	30	29	24	17	5062378	5049350	5001174	4992306	4921353	4673044	60	681842	5053522	50.55	357913	179313	6	11	0.00
49937_1_24.assembly	203	94	52	43	31	24	5584870	5547897	5434746	5364330	5173027	4955907	116	787772	5562636	57.12	248554	108528	6	15	0.00
49937_1_233.assembly	49	27	14	12	11	9	3924064	3916306	3886213	3870553	3845811	3778496	32	1098077	3919850	51.10	867151	402698	2	4	0.00
49989_1_11.assembly	81	49	29	27	24	21	5453452	5440755	5400604	5388423	5345980	5257140	59	1169298	5448670	57.28	323096	160208	5	11	0.00
49989_1_3.assembly	158	72	47	38	27	18	5160364	5122429	5066739	5003404	4843402	4544577	108	577240	5147393	50.47	287335	169030	7	13	0.00
49947_1_113.assembly	418	411	256	148	53	17	5212993	5209751	4754430	3979520	2542670	1318734	414	142144	5212222	57.38	23247	10455	56	142	0.00
49989_2_71.assembly	233	111	64	55	42	27	5508018	5461267	5364481	5305317	5081650	4542722	148	720127	5486559	50.32	192453	72667	9	21	0.00
49989_2_64.assembly	108	68	37	32	24	19	5437528	5423063	5345208	5303928	5159691	4995323	81	1092464	5431865	57.43	370173	180191	5	10	0.00
49989_2_223.assembly	82	43	26	25	23	17	5064189	5050030	5013741	5008312	4970594	4771738	52	806508	5056865	50.60	354103	190887	5	9	0.00
49989_2_369.assembly	131	61	41	36	26	18	4979184	4950499	4909246	4874858	4733144	4470763	81	757982	4965770	50.43	286956	196512	5	10	0.00
49989_1_141.assembly	163	106	74	63	46	31	4763969	4745225	4675268	4593443	4300147	3794621	116	273624	4752108	50.77	118800	68452	14	27	0.00
49990_1_214.assembly	108	61	40	33	28	21	5038948	5022280	4970980	4924765	4849368	4612025	73	790362	5031183	50.55	215880	161983	7	13	0.00
49989_1_203.assembly	65	31	17	17	17	13	4660244	4645940	4614689	4614689	4614689	4481197	41	894861	4653859	50.62	505685	264955	4	7	0.00
49989_1_100.assembly	79	58	42	40	32	23	4674498	4667922	4632660	4616960	4473145	4146873	61	430572	4670514	50.71	223343	94778	8	14	0.00
49989_1_73.assembly	201	90	47	40	30	23	5333035	5283095	5179606	5120901	4960545	4704350	132	485887	5313498	50.69	226842	153421	8	15	0.00
49990_2_307.assembly	205	94	58	47	37	24	5185354	5143179	5062280	4979569	4822853	4333290	125	665157	5163900	50.33	177650	95764	7	18	0.00
49989_2_381.assembly	153	72	43	34	28	21	5032449	5002473	4941435	4874493	4779307	4556542	95	484313	5018672	50.55	234254	163762	7	14	0.00
49990_2_5.assembly	84	42	25	22	22	16	4939009	4921766	4888632	4868527	4868527	4656471	56	1204620	4931961	50.40	527561	221505	3	8	0.00
49937_1_283.assembly	96	52	34	28	23	18	5484600	5470442	5435181	5388585	5285630	5126126	60	604247	5476197	57.16	350172	219102	7	11	0.00
49937_1_119.assembly	107	63	39	36	31	28	5483658	5466486	5417382	5395488	5322314	5233474	77	590644	5477290	57.26	240515	124783	8	16	0.00
49989_2_224.assembly	86	49	34	33	30	23	5536208	5522899	5488509	5481005	5440444	5172869	58	662136	5529445	57.11	351979	140983	6	13	0.00
49937_1_168.assembly	300	114	53	39	27	22	5220104	5138779	5001330	4896394	4711407	4541534	190	622524	5191741	50.41	227263	115184	7	15	0.00
49937_1_257.assembly	236	127	78	66	47	35	5421213	5376026	5262844	5174866	4890884	4480824	164	266049	5402127	50.60	147288	70053	14	29	0.00
49989_1_95.assembly	283	186	127	97	65	33	5287310	5244198	5095408	4885063	4316324	3184219	222	247985	5271304	50.45	62992	32052	23	53	0.00
49990_2_193.assembly	153	65	37	35	32	26	5183546	5146400	5087889	5075617	5024181	4829522	98	560591	5169216	50.56	212177	130351	8	15	0.00
49990_2_304.assembly	210	137	103	83	59	33	4937187	4909017	4830216	4678890	4317057	3359314	155	253201	4922904	50.56	87084	41098	20	41	0.00
49937_1_195.assembly	254	103	67	51	35	28	5150382	5090874	5003512	4881884	4623443	4378976	151	494388	5123811	50.74	160296	87103	10	21	0.00
49989_1_162.assembly	161	76	47	40	30	24	5264225	5228333	5152182	5105535	4951281	4755182	107	448761	5250484	50.40	243333	134478	7	15	0.00
49989_1_145.assembly	92	63	47	40	34	25	5436123	5426034	5390399	5334485	5216667	4904007	71	531573	5431327	57.32	223487	123545	9	16	0.00
49937_1_95.assembly	120	76	46	40	29	21	5452338	5437773	5362588	5319294	5141907	4872688	87	900012	5445393	57.31	336508	107697	5	12	0.00
49989_1_196.assembly	91	47	27	26	23	21	5094404	5077899	5039276	5033358	4992381	4921193	60	432006	5086227	50.77	313721	190807	7	12	0.00
